rate	head	eff	power
1	9.51	0.01	150.69
11	9.59	0.07	153.90
21	9.64	0.14	157.01
32	9.65	0.21	159.69
42	9.63	0.28	161.85
53	9.57	0.35	163.32
63	9.48	0.41	164.58
74	9.34	0.48	166.14
84	9.10	0.52	168.06
95	8.71	0.55	170.62
105	8.19	0.56	174.42
116	7.58	0.55	179.39
126	6.91	0.53	184.90
137	6.19	0.50	190.61
147	5.44	0.45	196.65
158	4.64	0.40	203.13
168	3.79	0.34	210.05
179	2.91	0.27	217.39
189	1.98	0.19	225.14
200	1.01	0.10	233.32
210	0.00	0.00	241.92
221	-1.01	0.00	241.92
231	-2.02	0.00	241.92
242	-3.03	0.00	241.92
252	-4.04	0.00	241.92
263	-5.06	0.00	241.92
273	-6.07	0.00	241.92
284	-7.08	0.00	241.92
294	-8.09	0.00	241.92
305	-9.10	0.00	241.92
315	-10.11	0.00	241.92
326	-11.12	0.00	241.92
