P	T	rs	rs_mod	bo	bo_mod	muo	muo_mod
1	90	0.2267	0.2259	1.0450	1.0450	4.0552	4.0739
5	90	1.5740	1.5685	1.0473	1.0473	3.8176	3.8359
10	90	3.6261	3.6135	1.0509	1.0509	3.5080	3.5258
15	90	5.9082	5.8876	1.0550	1.0550	3.2215	3.2386
20	90	8.3537	8.3246	1.0594	1.0593	2.9657	2.9821
25	90	10.9284	10.8904	1.0640	1.0640	2.7401	2.7557
30	90	13.6111	13.5637	1.0689	1.0688	2.5416	2.5565
35	90	16.3869	16.3298	1.0740	1.0739	2.3669	2.3811
40	90	19.2450	19.1780	1.0793	1.0792	2.2126	2.2261
45	90	22.1772	22.0999	1.0848	1.0846	2.0759	2.0888
50	90	25.1766	25.1766	1.0904	1.0904	1.9542	1.9633
55	90	28.2380	25.1766	1.0962	1.0886	1.8453	1.9787
60	90	31.3568	25.1766	1.1022	1.0871	1.7476	1.9958
65	90	34.5291	25.1766	1.1083	1.0858	1.6594	2.0146
70	90	37.7517	25.1766	1.1145	1.0847	1.5796	2.0349
75	90	41.0215	25.1766	1.1209	1.0838	1.5071	2.0567
80	90	44.3362	25.1766	1.1274	1.0830	1.4409	2.0800
85	90	47.6934	25.1766	1.1340	1.0822	1.3803	2.1046
90	90	51.0912	25.1766	1.1408	1.0816	1.3246	2.1305
95	90	54.5277	25.1766	1.1477	1.0810	1.2733	2.1578
100	90	58.0013	25.1766	1.1547	1.0805	1.2260	2.1862
105	90	61.5106	25.1766	1.1618	1.0800	1.1821	2.2159
110	90	65.0541	25.1766	1.1691	1.0796	1.1413	2.2468
115	90	68.6307	25.1766	1.1764	1.0792	1.1033	2.2789
120	90	72.2391	25.1766	1.1838	1.0789	1.0679	2.3121
125	90	75.8783	25.1766	1.1914	1.0785	1.0347	2.3464
130	90	80.0000	25.1766	1.2000	1.0782	1.0000	2.3818
135	90	80.0000	25.1766	1.1985	1.0780	1.0080	2.4183
140	90	80.0000	25.1766	1.1971	1.0777	1.0163	2.4559
145	90	80.0000	25.1766	1.1958	1.0775	1.0249	2.4945
150	90	80.0000	25.1766	1.1946	1.0772	1.0339	2.5342
155	90	80.0000	25.1766	1.1935	1.0770	1.0432	2.5749
160	90	80.0000	25.1766	1.1925	1.0768	1.0527	2.6167
165	90	80.0000	25.1766	1.1915	1.0766	1.0626	2.6594
170	90	80.0000	25.1766	1.1905	1.0765	1.0728	2.7032
175	90	80.0000	25.1766	1.1897	1.0763	1.0832	2.7479
180	90	80.0000	25.1766	1.1888	1.0761	1.0939	2.7937
185	90	80.0000	25.1766	1.1881	1.0760	1.1049	2.8404
190	90	80.0000	25.1766	1.1873	1.0758	1.1162	2.8880
195	90	80.0000	25.1766	1.1866	1.0757	1.1277	2.9367
200	90	80.0000	25.1766	1.1859	1.0756	1.1395	2.9862
