P	T	rs	rs_mod	bo	bo_mod	muo	muo_mod
1	90	2.9291	4.3117	1.0535	1.0567	2.8477	2.7735
5	90	14.0255	14.1022	1.0746	1.0754	2.3223	2.3211
10	90	20.0771	19.9877	1.0861	1.0866	2.1020	2.1066
15	90	24.5567	24.3965	1.0946	1.0949	1.9607	1.9670
20	90	28.3180	28.1233	1.1017	1.1020	1.8540	1.8607
25	90	31.6548	31.4453	1.1080	1.1082	1.7672	1.7738
30	90	34.7085	34.4965	1.1138	1.1140	1.6934	1.6997
35	90	37.5596	37.3533	1.1192	1.1193	1.6290	1.6348
40	90	40.2588	40.0638	1.1243	1.1244	1.5717	1.5770
45	90	42.8401	42.6604	1.1292	1.1293	1.5199	1.5246
50	90	45.3280	45.1661	1.1339	1.1340	1.4725	1.4767
55	90	47.7401	47.5980	1.1384	1.1385	1.4288	1.4324
60	90	50.0902	49.9689	1.1429	1.1430	1.3882	1.3914
65	90	52.3888	52.2889	1.1472	1.1473	1.3503	1.3530
70	90	54.6444	54.5661	1.1515	1.1516	1.3147	1.3169
75	90	56.8637	56.8067	1.1557	1.1558	1.2811	1.2830
80	90	59.0524	59.0162	1.1599	1.1599	1.2493	1.2508
85	90	61.2150	60.9304	1.1640	1.1632	1.2192	1.2250
90	90	63.3556	60.9304	1.1681	1.1614	1.1904	1.2331
95	90	65.4774	60.9304	1.1721	1.1598	1.1630	1.2411
100	90	67.5833	60.9304	1.1762	1.1583	1.1368	1.2492
105	90	69.6756	60.9304	1.1802	1.1570	1.1117	1.2572
110	90	71.7565	60.9304	1.1842	1.1558	1.0876	1.2653
115	90	73.8279	60.9304	1.1881	1.1547	1.0644	1.2733
120	90	75.8914	60.9304	1.1921	1.1537	1.0422	1.2813
125	90	77.9483	60.9304	1.1960	1.1528	1.0207	1.2894
130	90	80.0000	60.9304	1.2000	1.1520	1.0000	1.2974
135	90	80.0000	60.9304	1.1985	1.1512	1.0052	1.3055
140	90	80.0000	60.9304	1.1971	1.1505	1.0104	1.3135
145	90	80.0000	60.9304	1.1958	1.1498	1.0156	1.3216
150	90	80.0000	60.9304	1.1946	1.1492	1.0208	1.3296
155	90	80.0000	60.9304	1.1935	1.1486	1.0260	1.3377
160	90	80.0000	60.9304	1.1925	1.1480	1.0312	1.3457
165	90	80.0000	60.9304	1.1915	1.1475	1.0364	1.3538
170	90	80.0000	60.9304	1.1905	1.1470	1.0416	1.3618
175	90	80.0000	60.9304	1.1897	1.1466	1.0468	1.3699
180	90	80.0000	60.9304	1.1888	1.1461	1.0520	1.3779
185	90	80.0000	60.9304	1.1881	1.1457	1.0572	1.3860
190	90	80.0000	60.9304	1.1873	1.1453	1.0624	1.3940
195	90	80.0000	60.9304	1.1866	1.1449	1.0675	1.4021
200	90	80.0000	60.9304	1.1859	1.1446	1.0727	1.4101
